Code Name,Name,Score,Users
1499D,The Number of Pairs,2100,3288
1499C,Minimum Grid Path,1500,8338
1499B,Binary Removals,1000,14024
1499A,Domino on Windowsill,800,17061
1498F,Christmas Game,2500,382
1498E,Two Houses,2200,1345
1498D,Bananas in a Microwave,2200,1728
1498C,Planar Reflections,1600,6191
1498B,Box Fitting,1300,10181
1498A,GCD Sum,800,16294
1497E2,Square-free division (hard version),2500,899
1497E1,Square-free division (easy version),1700,5180
1497D,Genius,2500,962
1497C2,k-LCM (hard version),1600,9769
1497C1,k-LCM (easy version),1200,13376
1497B,M-arrays,1200,12296
1497A,Meximization,800,17491
1496B,Max and Mex,1100,12466
1496A,Split it!,900,14491
1495F,Squares,3300,122
1495E,Qingshan and Daniel,3200,136
1495D,BFS Trees,2600,720
1495C,Garden of the Sun,2300,1749
1495B,Let's Go Hiking,1900,4439
1495A,Diamond Miner,1200,12123
1494F,Delete The Edges,2900,228
1494E,A-Z Graph,2400,1128
1494D,Dogeforces,2300,1781
1494C,1D Sokoban,1900,3892
1494B,Berland Crossword,1400,9832
1494A,ABC String,900,15174
1493F,Enchanted Matrix,2600,243
1493E,Enormous XOR,2600,530
1493D,GCD of an Array,2100,3046
1493C,K-beautiful Strings,2000,3282
1493B,Planet Lapituletti,1300,9130
1493A,Anti-knapsack,800,15473
1492E,Almost Fault-Tolerant Database,2500,915
1492D,Genius's Gambit,1900,4487
1492C,Maximum width,1500,9809
1492B,Card Deck,1100,13115
1492A,Three swimmers,800,17603
1491I,Ruler Of The Zoo,3500,33
1491H,Yuezheng Ling and Dynamic Tree,3400,251
1491G,Switch and Flip,2800,399
1491F,Magnets,2700,598
1491E,Fib-tree,2400,1432
1491D,Zookeeper and The Infinite Zoo,1800,4753
1491C,Pekora and Trampoline,1700,5642
1491B,Minimal Cost,1200,10659
1491A,K-th Largest Value,800,15024
1490G,Old Floppy Drive,1900,3762
1490F,Equalize the Array,1500,8612
1490E,Accidental Victory,1400,10076
1490D,Permutation Transformation,1200,12348
1490C,Sum of Cubes,1100,17221
1490B,Balanced Remainders,1000,17383
1490A,Dense Array,800,21732
1488J,Flower Shop,3100,9
1488I,Demonic Invasion,3100,15
1488H,Build From Suffixes,2800,29
1488G,Painting Numbers,2500,71
1488F,Dogecoin,2300,105
1488E,Palindromic Doubles,2200,143
1488D,Problemsolving Marathon,1900,228
1488C,Two Policemen,1900,277
1488B,RBS Deletion,1800,393
1488A,From Zero To Y,900,707
1487G,String Counting,2700,351
1487F,Ones,2900,224
1487E,Cheap Dinner,2000,3069
1487D,Pythagorean Triples,1500,10106
1487C,Minimum Ties,1500,8579
1487B,Cat Cycle,1200,12422
1487A,Arena,800,19555
1486F,Pairs of Paths,2600,372
1486E,Paired Payment,2200,1909
1486D,Max Median,2100,3731
1486C2,Guessing the Greatest (hard version),1900,5408
1486C1,Guessing the Greatest (easy version),1600,7475
1486B,Eastern Exhibition,1500,10530
1486A,Shifting Stacks,900,17780
1485F,Copy or Prefix Sum,2400,1139
1485E,Move and Swap,2500,861
1485D,Multiples and Power Differences,2200,3509
1485C,Floor and Mod,1700,6260
1485B,Replace and Keep Sorted,1200,11031
1485A,Add and Divide,1000,14022
1482H,Exam,3400,118
1482G,Vabank,3200,118
1482F,Useful Edges,2400,977
1482E,Skyline Photo,2100,1860
1482D,Playlist,1900,2708
1482C,Basic Diplomacy,1600,6442
1482B,Restore Modulo,1500,6646
1482A,Prison Break,800,15749
1481F,AB Tree,3100,189
1481E,Sorting Books,2500,1318
1481D,AB Graph,2000,3301
1481C,Fence Painting,1600,7789
1481B,New Colony,1100,14876
1481A,Space Navigation,800,19992
1480B,The Great Hero,900,12923
1480A,Yet Another String Game,800,19492
1479E,School Clubs,3500,67
1479D,Odd Mineral Resource,2900,436
1479C,Continuous City,2500,915
1479B2,Painting the Array II,2100,2815
1479B1,Painting the Array I,1900,4934
1479A,Searching Local Minimum,1700,7752
1478C,Nezzar and Symmetric Array,1700,6802
1478B,Nezzar and Lucky Number,1100,14243
1478A,Nezzar and Colorful Balls,800,20341
1477F,Nezzar and Chocolate Bars,3500,65
1477E,Nezzar and Tournaments,3300,71
1477D,Nezzar and Hidden Permutations,2800,284
1477C,Nezzar and Nice Beatmap,2200,1621
1477B,Nezzar and Binary String,1900,2161
1477A,Nezzar and Board,1800,4132
1476G,Minimum Difference,3100,200
1476F,Lanterns,3000,149
1476E,Pattern Matching,2300,1631
1476D,Journey,1700,5895
1476C,Longest Simple Cycle,1600,7727
1476B,Inflation,1300,13183
1476A,K-divisible Sum,1000,18518
1475G,Strange Beauty,1900,3868
1475F,Unusual Matrix,1900,3568
1475E,Advertising Agency,1600,8143
1475D,Cleaning the Phone,1800,6327
1475C,Ball in Berland,1400,12829
1475B,New Year's Number,900,25471
1475A,Odd Divisor,900,26745
1474F,1 2 3 4 ...,3000,88
1474E,What Is It?,2500,960
1474D,Cleaning,2200,2971
1474C,Array Destruction,1700,8160
1474B,Different Divisors,1000,16701
1474A,Puzzle From the Future,800,18916
1473G,Tiles,2800,232
1473F,Strange Set,2700,505
1473E,Minimum Path,2400,1850
1473D,Program,1700,6356
1473C,No More Inversions,1500,9305
1473B,String LCM,1000,18755
1473A,Replacing Elements,800,23415
1472G,Moving to the Capital,2100,2594
1472F,New Year's Puzzle,2100,2175
1472E,Correct Placement,1700,5206
1472D,Even-Odd Game,1200,15841
1472C,Long Jumps,1100,17945
1472B,Fair Division,800,25645
1472A,Cards for Friends,800,26085
1471B,Strange List,1100,14529
1471A,Strange Partition,900,17506
1470F,Strange Covering,3500,33
1470E,Strange Permutation,3200,132
1470D,Strange Housing,2200,2367
1470C,Strange Shuffle,2500,967
1470B,Strange Definition,1900,4617
1470A,Strange Birthday Party,1300,13670
1469F,Power Sockets,2600,585
1469E,A Bit Similar,2400,1393
1469D,Ceil Divisions,1700,6599
1469C,Building a Fence,1600,7541
1469B,Red and Blue,1000,16614
1469A,Regular Bracket Sequence,1000,17991
1468N,Waste Sorting,900,5197
